%Name     id   owner    valexp  height(m)  NFZ shape   rad(m)/numVerts  Lat1, Lon1, Alt1, Lat2, Lon2, Alt2, ...
SouthKorea       1   Friend   1.0     0.0       0   Polygon 6                 38.44296582000622 128.4173056973993 0 37.67691850450827 126.3888258503195 0 36.98286286651937 126.7713410512857 0 37.13284381586714 129.332678696399 0 37.64431566275671 129.1154584615555 0 38.44296582000622 128.4173056973993 0
SouthKorea       2   Friend   1.0     0.0       0   Polygon 6                 37.05802627296404 129.3880991743124 0 36.95448638397314 126.37468572674 0 36.69414993837485 126.0975587359885 0 35.90179702201416 126.5905586314414 0 35.65743435768862 129.4583367937049 0 37.05802627296404 129.3880991743124 0
SouthKorea       3   Friend   1.0     0.0       0   Polygon 10                35.80048950071777 126.671232245554 0 35.03605049106572 126.0537931711846 0 34.36560664127858 126.0436198569102 0 34.17607514817722 126.5874397858357 0 34.36586339527435 127.7608107387528 0 34.83866629326554 128.7922771139189 0 34.83715725533742 128.8933616780375 0 35.60243416867675 129.4452681069202 0 35.81940132555164 126.7975256833161 0 35.80048950071777 126.671232245554 0
Japan            4   Friend   1.0     0.0       0   Polygon 9                 33.41106235280086 129.4020583266424 0 32.60188714100782 128.559453408957 0 32.9054104414086 129.7095819273882 0 31.3267953655946 130.1392767262234 0 31.06791044628072 130.7132613437409 0 31.39210570045669 131.2488578033153 0 32.98983659792335 131.9750352767375 0 33.99324716619457 130.9015014456381 0 33.41106235280086 129.4020583266424 0
Japan            5   Friend   1.0     0.0       0   Polygon 14                34.39061983200676 130.9637437580435 0 34.02016173870449 131.0398086740516 0 33.89741062660961 132.0604290912931 0 32.78164437117036 132.6472886686527 0 32.79364487276452 133.0294786950174 0 32.83835938461685 133.0904067212468 0 33.44973689876947 133.5828826809336 0 33.2847157617066 134.1793471411683 0 33.82891092599673 134.6347560879352 0 34.22488020722698 134.6747631364712 0 35.49791257746528 134.2371314333827 0 35.53595648855123 133.0826586226348 0 35.43224243092827 132.6419999356554 0 34.39061983200676 130.9637437580435 0
Japan            6   Friend   1.0     0.0       0   Polygon 13                35.57211307810361 134.3227466377354 0 34.29738549638503 134.7786246409663 0 33.48649669162077 135.8057854183095 0 34.31948373621125 136.9271932394471 0 34.64158518884625 138.1209326049189 0 37.46599616056313 137.29627106 0 37.35090238554675 136.7339958008924 0 36.45418060521385 136.475525144064 0 36.04069733792708 136.0270841931393 0 35.63992813722881 136.0377790620417 0 35.46425554916657 135.40906032045 0 35.73487181483693 135.2035026244304 0 35.57211307810361 134.3227466377354 0
Japan            7   Friend   1.0     0.0       0   Polygon 13                36.94624406436859 137.503476655427 0 34.69489087200513 138.2226876060088 0 35.10913057818605 138.6797184295587 0 34.61189337118916 138.825126651944 0 35.29762192523214 139.4061315773502 0 34.8927911716308 139.9068453082839 0 34.89048693300205 139.9249150525865 0 35.77224870907226 140.9199318549219 0 36.33978123771502 140.5242756613307 0 37.09806084751612 140.9797004226572 0 37.62169367365629 141.031415292583 0 38.13772983880075 139.4079694975281 0 36.94624406436859 137.503476655427 0
Japan            8   Friend   1.0     0.0       0   Polygon 14                38.1781247844676 139.4116455444769 0 37.66862895942447 141.026215348184 0 38.23161666896333 140.9577527286593 0 38.3758539010357 141.4385925385269 0 38.80549000743026 141.5982873465817 0 38.81102567708109 141.608201247665 0 39.25616928372777 141.9582340088282 0 40.2178911555954 141.8501670088998 0 40.67076815457369 141.4560876345068 0 41.38229787249613 141.4193386274215 0 41.49759864667016 140.9241484216529 0 41.24629687334618 140.3729617605356 0 40.64009249938927 139.8681938758857 0 38.1781247844676 139.4116455444769 0
Japan            9   Friend   1.0     0.0       0   Polygon 14                42.30420066529713 139.7543588877689 0 41.57556317452916 139.9201759155439 0 41.37567098796112 140.200555407068 0 41.75432373760962 141.1617399479262 0 42.13928358232963 140.7992206642562 0 42.59821272251626 141.6428667363616 0 41.95601115188525 143.2410843486292 0 43.38017925210138 145.8496173900055 0 44.33210910343545 145.3417780542835 0 43.93541163497784 144.6374839348233 0 45.47835328824137 141.9833047172982 0 45.22711764919556 141.5643251704177 0 43.29069755292761 140.4645065164223 0 42.30420066529713 139.7543588877689 0
